Author,Title,Genre,Subgenre,Act,Speech,Verse,Character,Type,Gender,Text,Syllables,Ambiguous,Nuclei,Assonance,Consonance,Rhythm
Lope,Auto del pan y el palo,Auto sacramental,ø,0,8,17,REGOCIJO,,M,Que destas estrechas leyes,8,0,eEaeEaEe,ee,leyes,-+--+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,8,18,REGOCIJO,,M,serás malo si no usas.,8,0,eAAoiOUa,ua,usas,-++--++-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,8,19,REGOCIJO,,M,Por lo menos no te excusas,8,0,ooEoOeUa,ua,kusas,--+-+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,8,20,REGOCIJO,,M,de casamientos de reyes.,8,0,eaaEoeEe,ee,reyes,---+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,9,21,BUEN AÑO,,M,"Tengo de eso cuanto quiero,",8,0,EoeoaoEo,eo,kjeɾo,+-----+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,9,22,BUEN AÑO,,M,porque se han casado en mí,8,0,oeAaAeI,i,mi,--+-+-+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,10,23,BUEN AÑO y REGOCIJO,,M,el sol y la luna. ¿Ansí?,8,0,eOiaUaI,i,si,-+--+-+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,11,24,BUEN AÑO,,M,Como esas dichas espero.,8,0,oEaIaeEo,eo,peɾo,-+-+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,12,25,REGOCIJO,,M,"Pues, si en ti casados vieses",8,0,eeiaAoEe,ee,bjeses,----+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,12,26,REGOCIJO,,M,"luna y sol, haz regocijos",8,0,UiOAeoIo,io,θixos,+-++--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,12,27,REGOCIJO,,M,como si vieses sus hijos.,8,0,ooiEeuIo,io,ixos,---+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,14,28,BUEN AÑO y REGOCIJO,,M,¿Quién son sus hijos? Los meses.,8,0,EOuIooEe,ee,meses,++-+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,16,29,BUEN AÑO y REGOCIJO,,M,Doce por lo menos. Antes,8,0,OeooEoAe,ae,antes,+---+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,16,30,REGOCIJO,,M,"son pocos, pero, si tienes",8,0,OooeoiEe,ee,tjenes,+-----+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,16,31,REGOCIJO,,M,"nombre de Bueno, previenes",8,0,OeeEoeEe,ee,bjenes,+--+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,16,32,REGOCIJO,,M,trigo y bodas semejantes.,8,0,IiOaeeAe,ae,xantes,+-+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,16,33,REGOCIJO,,M,"¿Sabe, Buen Año, que yo",8,0,AeEAoeO,o,yo,+-++--+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,16,34,REGOCIJO,,M,de otras bodas vengo ansí?,8,0,oaOaEaI,i,si,--+-+-+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,19,35,BUEN AÑO y REGOCIJO y BUEN AÑO,,M,Cuéntamelas. Oye. Di.,8,0,eaEaOeI,i,di,--+-+-+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,21,36,REGOCIJO y BUEN AÑO,,M,¿Luego no las sabes? No.,8,0,EoOaAeO,o,no,+-+-+-+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,37,REGOCIJO,,M,Los señores desta aldea,8,1,oeOeEaEa,ea,dea,--+-+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,38,REGOCIJO,,M,—que llaman en este reino,8,0,eAaeEeEo,eo,rejno,-+--+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,39,REGOCIJO,,M,"su cuerpo que es otro mundo,",8,0,UEoEooUo,uo,mundo,++-+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,40,REGOCIJO,,M,aunque le ves tan pequeño—.,8,0,aeeEAeEo,eo,keɲo,---++-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,41,REGOCIJO,,M,"La noble señora suya,",8,0,aOeeOaUa,ua,suya,-+--+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,42,REGOCIJO,,M,"semejanza por lo menos,",8,0,eeAaooEo,eo,menos,--+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,43,REGOCIJO,,M,aunque es mujer de Dios mismo,8,0,aEuEeOIo,io,mismo,-+-+-++-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,44,REGOCIJO,,M,pues a su imagen ha hecho,8,1,eaiAeAEo,eo,etʃo,---+-++-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,45,REGOCIJO,,M,su hermosura celestial,8,0,UoUaeeA,a,tjal,+-+---+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,46,REGOCIJO,,M,con tres potencias que entiendo,8,0,oEoEaeEo,eo,tjendo,-+-+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,47,REGOCIJO,,M,"por el Padre que, a su hijo,",8,1,oeAeauIo,io,ixo,--+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,48,REGOCIJO,,M,en su entendimiento eterno,8,0,eeeiEeEo,eo,teɾno,----+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,49,REGOCIJO,,M,eternamente le engendra.,8,0,eEaEeeEa,ea,xendɾa,-+-+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,50,REGOCIJO,,M,"Y, por la memoria, el verbo,",8,0,ioaeOeEo,eo,beɾbo,----+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,51,REGOCIJO,,M,aquel que era en el principio,8,0,aeEeeiIo,io,θipjo,--+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,52,REGOCIJO,,M,cerca de Dios y en su pecho.,8,0,EaeOeuEo,eo,petʃo,+--+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,53,REGOCIJO,,M,Y al espíritu amoroso,8,0,aeIiaoOo,oo,ɾoso,--+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,54,REGOCIJO,,M,que está procediendo dellos,8,0,eAoeEoEo,eo,deʎos,-+--+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,55,REGOCIJO,,M,"por la voluntad, aquel",8,0,oaouAaE,e,kel,----+-+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,56,REGOCIJO,,M,"que es luz, aire puro y fuego.",8,0,EUAeUiEo,eo,fwego,+++-+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,57,REGOCIJO,,M,"Finalmente, Regocijo,",8,0,iAEeeoIo,io,θixo,-++---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,58,REGOCIJO,,M,"la que vive en este cuerpo,",8,0,aeIeEeEo,eo,kweɾpo,--+-+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,59,REGOCIJO,,M,la señora desta aldea,8,1,aeOaEaEa,ea,dea,--+-+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,60,REGOCIJO,,M,y deste mundo pequeño,8,0,iEeUoeEo,eo,keɲo,-+-+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,61,REGOCIJO,,M,hoy se casa y norabuena.,8,0,OeAioaEa,ea,bwena,+-+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,62,REGOCIJO,,M,"Se case con un requiebro,",8,0,eAeoUeEo,eo,kjebɾo,-+--+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,63,REGOCIJO,,M,con un galán que ha venido,8,0,oUaAAeIo,io,nido,-+-++-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,64,REGOCIJO,,M,más que los ángeles bello.,8,0,AeoAeeEo,eo,beʎo,+--+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,65,REGOCIJO,,M,"Es tan grande como Dios,",8,0,EAAeooO,o,djos,+++---+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,66,REGOCIJO,,M,"tan sabio, hermoso y tan bueno.",8,0,AAeOiAEo,eo,bweno,++-+-++-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,67,REGOCIJO,,M,"Tan rico y, aunque, esto aparte,",8,1,AIaeeaAe,ae,paɾte,++----+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,68,REGOCIJO,,M,Buen Año se los da eternos;,8,0,EAoeoeEo,eo,teɾnos,++----+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,69,REGOCIJO,,M,"no es viejo, que David dijo",8,0,EEoeaIIo,io,dixo,++---++-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,70,REGOCIJO,,M,"que, como vestidos viejos,",8,0,eooeIoEo,eo,bjexos,----+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,71,REGOCIJO,,M,"todo se acababa y Dios,",8,0,OoaaAiO,o,djos,+---+-+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,72,REGOCIJO,,M,"increado y sempiterno,",8,1,ieAieiEo,eo,teɾno,--+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,73,REGOCIJO,,M,era el mesmo que sus años,8,0,EeEoeuAo,ao,aɲos,+-+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,74,REGOCIJO,,M,como infinitos e inmensos,8,0,oiiIoiEo,eo,mensos,---+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,75,REGOCIJO,,M,jamás podían faltar.,8,0,aAoIaaA,a,taɾ,-+-+--+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,76,REGOCIJO,,M,"Esto es en cuanto a Dios; luego,",8,0,eEeAaOEo,eo,lwego,-+-+-++-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,77,REGOCIJO,,M,"por la parte de ser hombre,",8,0,oaAeeEOe,oe,ombɾe,--+--++-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,78,REGOCIJO,,M,"es la belleza del cielo,",8,0,EaeEaeEo,eo,θjelo,+--+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,79,REGOCIJO,,M,"el resplandor de su Padre,",8,0,eeaOeuAe,ae,padɾe,---+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,80,REGOCIJO,,M,"imagen, sustancia y verbo",8,0,iAeuAiEo,eo,beɾbo,-+--+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,81,REGOCIJO,,M,aeiou,2,0,Aeo,aeo,aejow,+--
Lope,Auto del pan y el palo,Auto sacramental,ø,0,22,82,REGOCIJO,,M,Y nació mil y seiscientos,8,0,iaOIieEo,eo,θjentos,--++--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,23,83,REGOCIJO y BUEN AÑO,,M,y veintinueve años. ¿Qué dices?,9,0,ieiEAoEIe,ie,diθes,---++-++-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,24,84,REGOCIJO,,M,Que tiene el Esposo bello,8,0,eEeeOoEo,eo,beʎo,-+--+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,24,85,REGOCIJO,,M,mil y seiscientos y doce años.,9,0,iieeoiOAo,ao,θèaɲos,------++-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,86,BUEN AÑO y REGOCIJO,,M,¿Y es mozo? Sigue tras esto.,8,0,EOoIeaEo,eo,esto,++-+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,87,REGOCIJO,,M,No tuvo ni ha de tener,8,0,OUoAeeE,e,neɾ,++-+--+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,88,REGOCIJO,,M,"más de treinta y tres, que luego",8,0,AeeiEeEo,eo,lwego,+---+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,89,REGOCIJO,,M,que los cumplió le mataron.,8,0,eouOeaAo,ao,taɾon,---+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,90,REGOCIJO,,M,¿No has oído aquellos versos:,8,1,OAIaEoEo,eo,beɾsos,+++-+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,91,REGOCIJO,,M,que de noche le mataron,8,0,eeOeeaAo,ao,taɾon,--+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,92,REGOCIJO,,M,al divino caballero,8,0,aiIoaaEo,eo,ʎeɾo,--+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,93,REGOCIJO,,M,que era la gala del padre,8,0,EaaAaeAe,ae,padɾe,+--+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,94,REGOCIJO,,M,y la ﬂor de tierra y cielo?,8,0,iaOeEiEo,eo,θjelo,--+-+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,95,REGOCIJO,,M,"Pues, aunque fue muy de día",8,0,eaeEUeIa,ia,dia,---++-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,96,REGOCIJO,,M,por él mismo se escribieron;,8,0,oEIoeiEo,eo,bjeɾon,-++---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,97,REGOCIJO,,M,"porque, eclipsándose el sol,",8,0,oeiAoeO,o,sol,---+--+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,98,REGOCIJO,,M,"fue noche y no con silencio,",8,0,EOiOoiEo,eo,lenθjo,++-+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,99,REGOCIJO,,M,porque hasta las piedras dicen,8,0,oaaaEaIe,ie,diθen,----+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,100,REGOCIJO,,M,que unas con otras se dieron.,8,0,uaooaeEo,eo,djeɾon,------+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,101,REGOCIJO,,M,Mas ¿quién mete al Regocijo,8,0,AEEaeoIo,io,θixo,+++---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,102,REGOCIJO,,M,en que agora trate desto,8,0,eaOaAeEo,eo,desto,--+-+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,103,REGOCIJO,,M,"sino en su resurrección,",8,0,ieueueO,o,θjon,------+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,104,REGOCIJO,,M,que fue en el día tercero,8,1,eeeIaeEo,eo,θeɾo,---+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,105,REGOCIJO,,M,como prometido había?,8,1,oooeIaIa,ia,bia,----+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,106,REGOCIJO,,M,Mas puedes tener por cierto,8,0,AEeeEoEo,eo,θjeɾto,++--+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,107,REGOCIJO,,M,que el regocijo mayor,8,0,eeoIoaO,o,yoɾ,---+--+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,108,REGOCIJO,,M,deste Príncipe del cielo,8,0,EeIieeEo,eo,θjelo,+-+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,109,REGOCIJO,,M,"es el tratar de su muerte,",8,0,EeaAeuEe,ee,mweɾte,+--+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,26,110,REGOCIJO,,M,de su pasión y tormento.,8,0,euaOioEo,eo,mento,---+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,27,111,BUEN AÑO,,M,¿En bodas se ha de tratar,8,0,eOaAeaA,a,taɾ,-+-+--+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,28,112,BUEN AÑO y REGOCIJO,,M,de pasión? Tan justo es eso,8,0,eaOAUEEo,eo,eso,--+++++-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,28,113,REGOCIJO,,M,que en el mundo cada día,8,1,eeUoaaIa,ia,dia,--+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,28,114,REGOCIJO,,M,"un infinito, un inmenso",8,0,UiiIUiEo,eo,menso,+--++-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,28,115,REGOCIJO,,M,número de sacerdotes,8,0,UeoeaeOe,oe,dotes,+-----+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,28,116,REGOCIJO,,M,la representan al pueblo.,8,0,aeeEaaEo,eo,pweblo,---+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,28,117,REGOCIJO,,M,Si bien es en sacrificio,8,0,iEEeaiIo,io,fiθjo,-++---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,28,118,REGOCIJO,,M,"que ellos llaman Sacramento,",8,0,eoAaaaEo,eo,mento,--+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,28,119,REGOCIJO,,M,porque Cristo está glorioso,8,0,oeIeAoOo,oo,ɾjoso,--+-+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,29,120,REGOCIJO y BUEN AÑO,,M,e impasible. Absorto quedo,8,0,iaIaOoEo,eo,kedo,--+-+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,29,121,BUEN AÑO,,M,de las cosas que me cuentas.,8,0,eaOaeeEa,ea,kwentas,--+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,30,122,REGOCIJO,,M,Ya el aldea por sus dueños,8,1,eaEaouEo,eo,dweɲos,--+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,30,123,REGOCIJO,,M,se alborota que hay hidalgos.,8,0,aoOaAiAo,ao,dalgos,--+-+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,32,124,BUEN AÑO y REGOCIJO,,M,¿Quién? Memoria y entendimiento,8,0,EeOeeiEo,eo,mjento,+-+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,32,125,REGOCIJO,,M,y la voluntad; tres casas,8,0,iaouAEAa,aa,kasas,----+++-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,32,126,REGOCIJO,,M,que solo a Dios pagan pecho.,8,0,eOaOAaEo,eo,petʃo,-+-++-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,32,127,REGOCIJO,,M,"Y aun, si quiere el Albedrío,",8,1,AiEeaeIo,io,ɾio,+-+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,32,128,REGOCIJO,,M,"aunque hará mal en hacerlo,",8,0,aaAAeaEo,eo,θeɾlo,--++--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,32,129,REGOCIJO,,M,al mismo no pagarán,8,0,aioOaaA,a,ɾan,---+--+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,32,130,REGOCIJO,,M,que son de alcabala exentos.,8,0,eOaaAeEo,eo,ksentos,-+--+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,32,131,REGOCIJO,,M,Los sentidos corporales,8,0,oeIoooAe,ae,ɾales,--+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,32,132,REGOCIJO,,M,son labradores groseros.,8,0,OaaOeoEo,eo,seɾos,+--+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,32,133,REGOCIJO,,M,"El tacto acude al trabajo,",8,0,eAaUaaAo,ao,baxo,-+-+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,32,134,REGOCIJO,,M,que ha días le dijeron,8,0,eAIaeiEo,eo,xeɾon,-++---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,32,135,REGOCIJO,,M,que en el sudor de su rostro,8,0,eeuOeuOo,oo,rostɾo,---+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,32,136,REGOCIJO,,M,comiese el pan y no menos,8,0,oEeAiOEo,eo,menos,-+-+-++-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,32,137,REGOCIJO,,M,los demás a sus oficios,8,0,oeAauoIo,io,fiθjos,--+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,32,138,REGOCIJO,,M,con que ha quedado compuesto,8,0,oAeAooEo,eo,pwesto,-+-+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,32,139,REGOCIJO,,M,el cuerpo de aquesta aldea,8,1,eEoaeaEa,ea,dea,-+----+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,32,140,REGOCIJO,,M,Gente suena. ¿Si son ellos?,8,0,EeEaiOEo,eo,eʎos,+-+--++-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,33,141,MÚSICOS,,M,Pues con el Rey se ha casado,8,0,eoeEAaAo,ao,sado,---++-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,33,142,MÚSICOS,,M,la señora de la aldea.,8,1,aeOaeaEa,ea,dea,--+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,33,143,MÚSICOS,,M,Muy enhorabuena sea.,8,0,UeoaEaEa,ea,sea,+---+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,34,144,SENTIDOS,,M,Con la cruz os recibimos,8,0,oaUoeiIo,io,bimos,--+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,34,145,SENTIDOS,,M,"como a Señor del lugar,",8,0,oaeOeuA,a,gaɾ,---+--+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,34,146,SENTIDOS,,M,no para daros pesar,8,0,OaaAoeA,a,saɾ,+--+--+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,34,147,SENTIDOS,,M,que a daros placer venimos.,8,0,aAoaEeIo,io,nimos,-+--+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,34,148,SENTIDOS,,M,"Demás, Señor celestial,",8,0,eAeOeeA,a,tjal,-+-+--+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,34,149,SENTIDOS,,M,que vuestra cruz nos le ha dado,8,0,eEaUoAAo,ao,dado,-+-+-++-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,34,150,SENTIDOS,,M,"que, puesto que os ha pesado,",8,0,eEooAeAo,ao,sado,-+--+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,34,151,SENTIDOS,,M,no os ha parecido mal.,8,0,oAaeIoA,a,mal,-+--+-+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,34,152,SENTIDOS,,M,Que en ella dijistes vos:,8,0,eeaiIeO,o,bos,----+-+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,34,153,SENTIDOS,,M,Sed tengo. Se ha de entender,8,0,EEoAeeE,e,deɾ,++-+--+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,34,154,SENTIDOS,,M,que era sed de padecer,8,0,EaEeaeE,e,θeɾ,+-+---+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,34,155,SENTIDOS,,M,"más penas mi Rey, mi Dios.",8,0,AEaiEiO,o,djos,++--+-+
Lope,Auto del pan y el palo,Auto sacramental,ø,0,35,156,REY,,X,"Sentidos, que desta aldea",8,1,eIoeEaEa,ea,dea,-+--+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,35,157,REY,,X,"de mi Esposa sois vasallos,",8,0,eeOaOaAo,ao,saʎos,--+-+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,35,158,REY,,X,"mis tormentos por pasallos,",8,0,IoEooaAo,ao,saʎos,+-+---+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,35,159,REY,,X,"por quien en mi amor se emplea,",8,1,oeeaOeEa,ea,plea,----+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,35,160,REY,,X,siempre los tuve por buenos,8,0,EeoUeoEo,eo,bwenos,+--+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,35,161,REY,,X,"y, ansí, mi cruz es mi gloria.",8,0,aIiUEiOa,oa,gloɾja,-+-++-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,35,162,REY,,X,Que de armas desta vitoria,8,0,eAaEaiOa,oa,toɾja,-+-+--+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,35,163,REY,,X,están mis palacios llenos.,8,0,eAiaAoEo,eo,ʎenos,-+--+-+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,35,164,REY,,X,"Mis timbres, mis coroneles,",8,0,IIeiooEe,ee,neles,++----+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,35,165,REY,,X,"mis torres, mis edificios,",8,0,IOeieiIo,io,fiθjos,++----+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,35,166,REY,,X,"mis puertas, mis frontispicios,",8,0,IEaioiIo,io,piθjos,++----+-
Lope,Auto del pan y el palo,Auto sacramental,ø,0,35,167,REY,,X,mis naves y mis bajeles.,8,0,IAeiiaEe,ee,xeles,++----+-
